systemove_cislo;druh_dokumentu;autori;autori_puvodni;nazev;zdroj_dok;cislovani;isbn;issn;if;projekt;vz;rvo;odevzdani_riv;rok_vydani;rok_sberu;vlastnik;interni_kod;technicke_parametry;ekonomicke_parametry;cislo_patentoveho_spisu;vlastnik_patentu;doi;wos;pubmed;scopus
0524791;C;"Kalina, Jan - Vidnerová, Petra";;"A Metalearning Study for Robust Nonlinear Regression";"Proceedings of the 21st EANN (Engineering Applications of Neural Networks) 2020 Conference";"S. 499-510";978-3-030-48790-4;2661-8141;;"GA19-05704S:GA ČR - GA18-23827S:GA ČR";;RVO:67985807;1;2020;2021;UIVT-O;;;;;;10.1007/978-3-030-48791-1_39;;;
0548702;A;"Kalina, Jan - Vidnerová, Petra";;"Application Of Implicitly Weighted Regression Quantiles: Analysis Of The 2018 Czech Presidential Election";"14th International Scientific Conference RELIK 2021. Book of Abstracts";"S. 33-33";;;;;;RVO:67985807;;2021;2022;UIVT-O;;;;;;;;;
0553132;C;"Kalina, Jan - Vidnerová, Petra";;"Application Of Implicitly Weighted Regression Quantiles: Analysis Of The 2018 Czech Presidential Election";"RELIK 2021. Conference Proceedings";"S. 332-341";978-80-245-2429-0;;;"GA21-05325S:GA ČR";;RVO:67985807;1;2021;2022;UIVT-O;;;;;;;;;
0541777;J;"Kalina, Jan - Neoral, Aleš - Vidnerová, Petra";;"Effective Automatic Method Selection for Nonlinear Regression Modeling";"International Journal of Neural Systems";"Roč. 31, č. 10 (2021)";;0129-0657;6.325;"GA19-05704S:GA ČR - GA18-23827S:GA ČR";;RVO:67985807;1;2021;2022;UIVT-O;;;;;;10.1142/S0129065721500209;000696596800003;33787471;85104028019
0509648;C;"Kalina, Jan - Vidnerová, Petra";;"Implicitly weighted robust estimation of quantiles in linear regression";"Conference Proceedings. 37th International Conference on Mathematical Methods in Economics 2019";"S. 25-30";978-80-7394-760-6;;;"GA19-05704S:GA ČR - GA18-23827S:GA ČR";;RVO:67985807;1;2019;2020;UIVT-O;;;;;;;000507570400003;;
0508153;A;"Kalina, Jan - Vidnerová, Petra";;"Implicitly Weighted Robust Estimation of Quantiles in Linear Regression";"37th International Conference on Mathematical Methods in Economics 2019: Book of Abstracts";"S. 17-17";;;;"GA19-05704S:GA ČR";;RVO:67985807;;2019;2020;UIVT-O;;;;;;;;;
0559056;J;"Kalina, Jan - Vidnerová, Petra";;"Least Weighted Squares Quantiles Reveal How Competitiveness Contributes to Tourism Performance";"Finance a úvěr-Czech Journal of Economics and Finance";"Roč. 72, č. 2 (2022), s. 150-171";;0015-1920;0.500;"GA21-19311S:GA ČR - GA22-02067S:GA ČR";;RVO:67985807;1;2022;2023;UIVT-O;;;;;;10.32065/CJEF.2022.02.03;000810458700003;;85135351736
0532166;L4;"Kalina, Jan - Vidnerová, Petra - Peštová, Barbora";;"Metalearning for robust regression 1.0";;;;;;"GA19-05704S:GA ČR - GA18-23827S:GA ČR";;RVO:67985807;1;2020;2021;UIVT-O;"Metalearning 1.0";"Kód v softwaru R je samostatně spustitelný podle dokumentace. Je třeba soubory spouštět v tomto pořadí: ReadingData.R, Primary.R, Features.R, Secondary.R. Alternativní postupy k metodám souboru Secondary.R jsou obsaženy v souborech RandomForest.R nebo Regression.R. Alternativní validace (jako náhražka křížové validace) je obsažena v souboru Autovalidation.R. Dostupné pod licencí MIT.";"Software představuje dosud jedinečný nástroj pro využití dostupných trénovacích souborů pro nalezení vhodné regresní metody pro nový datový soubor. Software tak výrazně zjednodušuje práci v oblasti selekce optimální metody (metaučení), protože kódy nejsou jinak obsaženy v žádném dostupném softwaru.";;;;;;
0511478;A;"Kalina, Jan - Vidnerová, Petra - Jurica, Tomáš";;"Metalearning for robust regression: Robustness and variable selection";"AMISTAT 2019. Book of Abstracts";"S. 26-26";;;;;;RVO:67985807;;2019;2020;UIVT-O;;;;;;;;;
0565542;M;"Kalina, Jan - Vidnerová, Petra - Soukup, Lubomír";;"Modern Approaches to Statistical Estimation of Measurements in the Location Model and Regression";"Handbook of Metrology and Applications";"First Online: 23 July 2022";978-981-19-1550-5;;;"GA22-02067S:GA ČR";;"RVO:67985807, RVO:67985556";;2022;2024;UIVT-O;;;;;;10.1007/978-981-19-1550-5_125-1;;;
0551774;C;"Kalina, Jan - Vidnerová, Petra";;"On kernel-based nonlinear regression estimation";"The 15th International Days of Statistics and Economics Conference Proceedings";"S. 450-459";978-80-87990-25-4;;;"GA21-05325S:GA ČR";;RVO:67985807;1;2021;2022;UIVT-O;;;;;;;;;
0544178;A;"Kalina, Jan - Vidnerová, Petra";;"On Robust Training of Regression Neural Networks";"IWFOS 2021. Book of Abstracts";"S. 35-35";;;;"GA19-05704S:GA ČR - GA18-23827S:GA ČR";;RVO:67985807;1;2021;2022;UIVT-O;;;;;;;;;
0525292;C;"Kalina, Jan - Vidnerová, Petra";;"On Robust Training of Regression Neural Networks";"Functional and High-Dimensional Statistics and Related Fields";"S. 145-152";978-3-030-47755-4;1431-1968;;"GA19-05704S:GA ČR - GA18-23827S:GA ČR";;RVO:67985807;1;2020;2021;UIVT-O;;;;;;10.1007/978-3-030-47756-1_20;;;
0535704;C;"Kalina, Jan - Vidnerová, Petra";;"Regression for High-Dimensional Data: From Regularization to Deep Learning";"The 14th International Days of Statistics and Economics Conference Proceedings";"S. 418-427";978-80-87990-22-3;;;"GA19-05704S:GA ČR - GA18-23827S:GA ČR";;RVO:67985807;1;2020;2021;UIVT-O;;;;;;;;;
0522365;C;"Kalina, Jan - Vidnerová, Petra";;"Regression Neural Networks with a Highly Robust Loss Function";"Analytical Methods in Statistics";"S. 17-29";978-3-030-48813-0;;;"GA19-05704S:GA ČR - GA18-23827S:GA ČR";;RVO:67985807;1;2020;2021;UIVT-O;;;;;;10.1007/978-3-030-48814-7_2;;;85089230976
0524790;C;"Kalina, Jan - Vidnerová, Petra";;"Robust Multilayer Perceptrons: Robust Loss Functions and Their Derivatives";"Proceedings of the 21st EANN (Engineering Applications of Neural Networks) 2020 Conference";"S. 546-557";978-3-030-48790-4;2661-8141;;"GA19-05704S:GA ČR - GA18-23827S:GA ČR";;RVO:67985807;1;2020;2021;UIVT-O;;;;;;10.1007/978-3-030-48791-1_43;;;
0506360;C;"Kalina, Jan - Vidnerová, Petra";;"Robust Training of Radial Basis Function Neural Networks";"Artificial Intelligence and Soft Computing. Proceedings, Part I";"S. 113-124";978-3-030-20911-7;0302-9743;;"GA19-05704S:GA ČR - GA18-23827S:GA ČR";;RVO:67985807;1;2019;2020;UIVT-O;;;;;;10.1007/978-3-030-20912-4_11;000485150200011;;85066741931
0562370;C;"Kalina, Jan - Vidnerová, Petra - Janáček, Patrik";;"Sparse Versions of Optimized Centroids";"2022 International Joint Conference on Neural Networks (IJCNN) Proceedings";"S. 1-7";978-1-7281-8671-9;;;"GA22-02067S:GA ČR";;RVO:67985807;1;2022;2023;UIVT-O;;;;;;10.1109/IJCNN55064.2022.9892838;000867070907075;;85140720085
0404718;V;"Krušina, Pavel - Kudová, Petra - Petrová, Zuzana - Neruda, Roman";;"Hybrid AI Models using Bang";;;;;;"GA201/00/1489:GA ČR";AV0Z1030915;;;2002;2003;UIVT-O;;;;;;;;;
0039752;C;"Kudová, Petra - Řezanková, H. - Húsek, Dušan - Snášel, V.";;"Categorical Data Clustering using Statistical Methods and Neural Networks";"Spring Young Researches' Colloquium on Database and Information Systems";"s. 19-23";;;;"1ET100300414:GA AV ČR - GA201/05/0079:GA ČR - 05-07-90049:Russian Foundation for Basic research";CEZ:AV0Z10300504;;1;2006;2007;UIVT-O;;;;;;;;;
0087711;C;"Kudová, Petra";;"Clustering Genetic Algorithm";"Database and Expert Systems Applications";"S. 138-142";978-0-7695-2932-5;;;"1ET100300414:GA AV ČR";CEZ:AV0Z10300504;;1;2007;2008;UIVT-O;;;;;;10.1109/DEXA.2007.65;000250954300029;;44349088634
0080857;C;"Kudová, Petra";;"Clustering using Genetic Algorithms";"Evolutionary Techniques in Data-processing";"s. 1-11";978-80-248-1332-5;;;"1ET100300414:GA AV ČR";CEZ:AV0Z10300504;;1;2007;2007;UIVT-O;;;;;;;;;
0405327;C;"Kudová, Petra";;"Comparison of Kernel Based Regularization Networks and RBF Networks";"ITAT 2004. Information Technologies - Applications and Theory";"s. 59-68";80-7097-589-X;;;"GA201/02/0428:GA ČR";CEZ:AV0Z1030915;;1;2004;2006;UIVT-O;;;;;;;;;
0103436;A;"Kudová, Petra";;"Comparison of Kernel Based Regularization Networks and RBF Networks";"Computational Statistics. Book of Abstracts";"s. 189";80-239-3459-7;;;"GA201/02/0428:GA ČR";CEZ:AV0Z1030915;;;2004;2005;UIVT-O;;;;;;;;;
0404785;K;"Kudová, Petra";;"Genetic and Eugenetic Learning of RBF Networks";"Doktorandský den '02";"S. 9-14";;;;;AV0Z1030915;;;2002;2003;UIVT-O;;;;;;;;;
0339944;C;"Kudová, Petra - Neruda, Roman";;"Kernel Based Learning Methods: Regularization Networks and RBF Networks";"Deterministic and Statistical Methods in Machine Learning";"S. 124-136";3-540-29073-7;;;"1ET100300419:GA AV ČR";CEZ:AV0Z10300504;;1;2005;2010;UIVT-O;;;;;;10.1007/11559887_8;000233290600008;;33645974283
0405582;K;"Kudová, Petra";;"Kernel Based Regularization Netowrks";"Doktorandský den '05";"s. 65-74";80-86732-56-8;;;"GA201/05/0557:GA ČR";CEZ:AV0Z10300504;;1;2005;2006;UIVT-O;;;;;;;;;
0103359;K;"Kudová, Petra";;"Kernel Based Regularization Networks and RBF Networks";"Doktorandský den '04";"s. 59-65";80-86732-30-4;;;;CEZ:AV0Z1030915;;;2004;2005;UIVT-O;;;;;;;;;
0045495;K;"Kudová, Petra";;"Learning Algorithms Based on Regularization";"Inteligentní modely, algoritmy, metody a nástroje pro vytváření sémantického webu";"s. 52-52";80-903298-7-X;;;"1ET100300419:GA AV ČR";CEZ:AV0Z10300504;;;2006;2007;UIVT-O;;;;;;;;;
0405176;V;"Kudová, Petra";;"Learning of Generalized Regularization Networks";;;;;;"GA201/02/0428:GA ČR";AV0Z1030915;;;2003;2004;UIVT-O;;;;;;;;;
0405135;K;"Kudová, Petra";;"Learning of Generalized Regularization Networks";"Doktorandský den '03";"s. 60-66";80-86732-16-9;;;;AV0Z1030915;;;2003;2004;UIVT-O;;;;;;;;;
0405548;C;"Kudová, Petra";;"Learning with Kernel Based Regularization Methods";"ITAT 2005. Information Technologies - Applications and Theory";"s. 83-92";80-7097-609-8;;;"GA201/05/0557:GA ČR";CEZ:AV0Z10300504;;1;2005;2006;UIVT-O;;;;;;;;;33746246993
0081305;D;"Kudová, Petra";;"Learning with Regularization Networks";;;;;;"GA201/05/0557:GA ČR - HPC-Europa RII3-CT-2003-506079:FP-6";CEZ:AV0Z10300504;;;2006;2007;UIVT-O;;;;;;;;;
0405496;C;"Kudová, Petra - Šámalová, Terezie";;"Product Kernel Regularization Networks";"Adaptive and Natural Computing Algorithms";"S. 433-436";3-211-24934-6;;;"GA201/05/0557:GA ČR - 1ET100300414:GA AV ČR";CEZ:AV0Z10300504;;1;2005;2010;UIVT-O;;;;;;10.1007/3-211-27389-1_104;000229368400104;;
0031733;V;"Kudová, Petra - Šidlofová, Terezie";;"Sum and Product Kernel Regularization Networks";;;;;;"1ET100300517:GA AV ČR - HPC EUROPA RII3-CT-2003-506079:FP-6 - 1ET100300414:GA AV ČR";CEZ:AV0Z10300504;;;2005;2006;UIVT-O;;;;;;;;;
0339949;C;"Kudová, Petra - Šámalová, Terezie";;"Sum and Product Kernel Regularization Networks";"Artificial Intelligence and Soft Computing – ICAISC 2006";"S. 56-65";3-540-35748-3;;;"1ET100300414:GA AV ČR - 1ET100300517:GA AV ČR - RII3-CT-2003-506079:HPC-Europa";CEZ:AV0Z10300504;;1;2006;2010;UIVT-O;;;;;;10.1007/11785231_7;000239600000007;;33746263283
0042319;C;"Kudová, Petra";;"The Role of Kernel Function in Regularization Network";"Information Technologies - Applications and Theory";"s. 101-105";80-969184-4-3;;;"GA201/05/0557:GA ČR - RII3-CT-2003-506079:HPC-Europa";CEZ:AV0Z10300504;;1;2006;2007;UIVT-O;;;;;;;;;84873942503
0404401;K;"Kudová, Petra";;"Učení neuronových sítí typu RBF";"Doktorandský den '01";"s. 19-24";;;;;AV0Z1030915;;;2001;2002;UIVT-O;;;;;;;;;
0031806;C;"Neruda, M. - Neruda, Roman - Kudová, Petra";;"Forecasting Runoff with Artificial Neural Networks";"Progress in Surface and Subsurface Water Studies at Plot and Small Basin Scale";"s. 65-69";;;;"GA201/02/0428:GA ČR";CEZ:AV0Z10300504;;1;2005;2006;UIVT-O;;;;;;;;;
0105262;C;"Neruda, Roman - Krušina, Pavel - Kudová, Petra - Rydvan, Pavel - Beuster, G.";;"Bang 3: A Computational Multi-Agent System";"Intelligent Agent Technology";"s. 563-564";0-7695-2101-0;;;"1ET100300419:GA AV ČR";CEZ:AV0Z1030915;;1;2004;2005;UIVT-O;;;;;;10.1109/IAT.2004.1343019;000224385500103;;16244376467
systemove_cislo;druh_dokumentu;autori;autori_puvodni;nazev;zdroj_dok;cislovani;isbn;issn;if;projekt;vz;rvo;odevzdani_riv;rok_vydani;rok_sberu;vlastnik;interni_kod;technicke_parametry;ekonomicke_parametry;cislo_patentoveho_spisu;vlastnik_patentu;doi;wos;pubmed;scopus
0318176;K;"Neruda, Roman - Slušný, Stanislav - Vidnerová, Petra";;"Enhancing Search Algorithms by Ontological Information";"Inteligentní modely, algoritmy, metody a nástroje pro vytváření sémantického webu";"S. 129-135";978-80-87136-03-4;;;"1ET100300419:GA AV ČR";CEZ:AV0Z10300504;;;2008;2009;UIVT-O;;;;;;;;;
0095459;C;"Neruda, Roman - Slušný, Stanislav - Vidnerová, Petra";;"Evolution of Simple Behavior Patterns for Autonomous Robotic Agent";"System Science and Simulation in Engineering";"S. 411-417";978-960-6766-14-5;;;"1M0567:GA MŠk - RII3-CT-2003-506079:HPC-Europa";CEZ:AV0Z10300504;;1;2007;2008;UIVT-O;;;;;;;000254162400067;;
0356026;C;"Neruda, Roman - Vidnerová, Petra";;"Genetic Algorithm with Species for Regularization Network Metalearning";"Advances in Information Technology";"S. 192-201";978-3-642-16698-3;1865-0929;;"GA201/08/1744:GA ČR";CEZ:AV0Z10300504;;1;2010;2011;UIVT-O;;;;;;10.1007/978-3-642-16699-0_21;000288365600021;;78650077194
0404629;C;"Neruda, Roman - Kudová, Petra";;"Hybrid Learning of RBF Networks";"Computational Science";"s. 594-603";3-540-43594-8;0302-9743;;"GA201/00/1489:GA ČR - GA201/02/0428:GA ČR";AV0Z1030915;;1;2002;2003;UIVT-O;;;;;;10.1007/3-540-47789-6_62;000181351200062;;84861259681
0404886;J;"Neruda, Roman - Kudová, Petra";;"Hybrid Learning of RBF Networks";"Neural Network World";"Roč. 12, č. 6 (2002), s. 573-585";;1210-0552;;"GA201/00/1489:GA ČR";AV0Z1030915;;1;2002;2003;UIVT-O;;;;;;;;;0036968516
0331128;J;"Neruda, Roman - Vidnerová, Petra";;"Learning Errors by Radial Basis Function Neural Networks and  Regularization Networks";"International Journal of  Grid and Distributed Computing";"Roč. 1, č. 2 (2009), s. 49-57";;2005-4262;;"1M0567:GA MŠk";CEZ:AV0Z10300504;;1;2009;2010;UIVT-O;;;;;;;;;
0405221;J;"Neruda, Roman - Kudová, Petra";;"Learning Methods for Radial Basis Functions Networks";"Future Generation Computer Systems";"Roč. 21, - (2005), s. 1131-1142";;0167-739X;0.555;"GP201/03/P163:GA ČR - GA201/02/0428:GA ČR";CEZ:AV0Z10300504;;1;2005;2006;UIVT-O;;;;;;10.1016/j.future.2004.03.013;000230288700016;;27544458557
0345155;C;"Neruda, Roman - Vidnerová, Petra";;"Memetic Evolutionary Learning for Local Unit Networks";"Advances in Neural Networks – ISNN 2010";"S. 534-541";978-3-642-13277-3;0302-9743;;"GA201/08/1744:GA ČR";CEZ:AV0Z10300504;;1;2010;2011;UIVT-O;;;;;;10.1007/978-3-642-13278-0_68;000279593300068;;77954441506
0331007;C;"Neruda, Roman - Slušný, Stanislav - Vidnerová, Petra";;"Performance Comparison of Relational Reinforcement Learning and RBF Neural Networks for Small Mobile Robots";"Proceedings of Second International Conference on Future Generation Communication and Networking Symposia";"S. 29-32";978-1-4244-3430-5;;;"257367/2007:GA UK";CEZ:AV0Z10300504;;1;2008;2010;UIVT-O;;;;;;10.1109/FGCNS.2008.133;000270432000094;;67650224258
0331008;C;"Neruda, Roman - Vidnerová, Petra";;"Supervised Learning Errors by Radial Basis Function Neural Networks and Regularization Networks";"Proceedings of Second International Conference on Future Generation Communication and Networking Symposia";"S. 193-196";978-1-4244-3430-5;;;"GA201/08/1744:GA ČR";CEZ:AV0Z10300504;;1;2008;2010;UIVT-O;;;;;;10.1109/FGCNS.2008.57;000270432000079;;67650239371
0317083;C;"Neruda, Roman - Slušný, Stanislav - Vidnerová, Petra";;"Two Learning Approaches to Maze Exploration: Case Study with E-puck Mobile Robots";"World Congress on Engineering and Computer Science";"S. 655-660";978-988-98671-0-2;;;"1M0567:GA MŠk";CEZ:AV0Z10300504;;1;2008;2009;UIVT-O;;;;;;;000263417100123;;
0041635;C;"Řezanková, H. - Húsek, Dušan - Kudová, Petra - Snášel, V.";;"Comparison of some Approaches to Clustering Categorical Data";"Proceedings in Computational Statistics";"s. 607-613";3-7908-1708-2;;;"GA201/05/0079:GA ČR - 1ET100300414:GA AV ČR";CEZ:AV0Z10300504;;1;2006;2007;UIVT-O;;;;;;;;;
0088668;C;"Slušný, Stanislav - Vidnerová, Petra - Neruda, Roman";;"Behavior Emergence in Autonomous Robot control by Means of Feedforward and Reccurent Neural Networks";"WCECS 2007";"S. 518-523";978-988-98671-6-4;;;"1ET100300419:GA AV ČR";CEZ:AV0Z10300504;;1;2007;2008;UIVT-O;;;;;;;000253617900094;;
0093506;C;"Slušný, Stanislav - Neruda, Roman - Vidnerová, Petra";;"Behaviour Patterns Evolution on Individual and Group Level";"Computational Intelligence, Man-Machine Systems and Cybernetics";"S. 24-29";978-960-6766-21-3;;;"7637/2007:GA UK - RII3-CT-2003-506079:HPC-Europa";CEZ:AV0Z10300504;;1;2007;2008;UIVT-O;;;;;;;000253488100005;;
0345013;J;"Slušný, Stanislav - Neruda, Roman - Vidnerová, Petra";;"Comparison of Behavior-based and Planning Techniques on the Small Robot Maze Exploration Problem";"Neural Networks";"Roč. 23, č. 4 (2010), s. 560-567";;0893-6080;1.955;"GA201/08/1744:GA ČR";CEZ:AV0Z10300504;;1;2010;2011;UIVT-O;;;;;;10.1016/j.neunet.2010.02.001;000277227900012;20346859;77950252122
0318622;C;"Slušný, Stanislav - Neruda, Roman - Vidnerová, Petra";;"Comparison of RBF Network Learning and Reinforcement Learning on the Maze Exploration Problem";"Artificial Neural Networks - ICANN 2008";"S. 720-729";978-3-540-87535-2;;;"GA201/08/1744:GA ČR - 7637/2007:GA UK";CEZ:AV0Z10300504;;1;2008;2009;UIVT-O;;;;;;10.1007/978-3-540-87536-9_74;000259566200074;;58849117252
0308978;C;"Slušný, Stanislav - Vidnerová, Petra - Neruda, Roman";;"Emergencia chovania robotických agentov: učenie posilovaním";"Kognice a umělý život VIII";"S. 295-299";978-80-7248-462-1;;;"GD201/05/H014:GA ČR";CEZ:AV0Z10300504;;1;2008;2009;UIVT-O;;;;;;;;;
0315195;C;"Slušný, Stanislav - Neruda, Roman - Vidnerová, Petra";;"Learning Algorithms for Small Mobile Robots: Case Study on Maze Exploration";"Information Technologies - Applications and Theory";"S. 49-54";978-80-969184-9-2;;;"1M0567:GA MŠk - GD201/05/H014:GA ČR";CEZ:AV0Z10300504;;1;2008;2009;UIVT-O;;;;;;;;;84873934056
0330007;C;"Slušný, Stanislav - Neruda, Roman - Vidnerová, Petra";;"Localization with a Low-Cost Robot";"Information Technologies - Applications and Theory";"S. 77-80";978-80-970179-2-7;;;"GA201/08/1744:GA ČR - 1M0567:GA MŠk";CEZ:AV0Z10300504;;1;2009;2010;UIVT-O;;;;;;;;;84874026102
0311244;C;"Slušný, Stanislav - Neruda, Roman - Vidnerová, Petra";;"Rule-based Analysis of Behaviour Learned by Evolutionary and Reinforcement Algorithms";"Advanced Intelligent Computing Theories and Applications With Aspects of Artificial Intelligence";"S. 284-291";978-3-540-85983-3;;;"1ET100300419:GA AV ČR";CEZ:AV0Z10300504;;1;2008;2009;UIVT-O;;;;;;10.1007/978-3-540-85984-0_35;000260436000035;;53049106228
